sr b Me
3.172254666887632801e-01 4.634333185069004912e+01 3.300384456800135258e+00
3.182949623358553581e-01 4.624882924583788935e+01 3.305505007799835138e+00
3.193646838229768359e-01 4.615457818135512724e+01 3.310630834584718407e+00
3.204346295399541633e-01 4.606057830196157710e+01 3.315761883688315148e+00
3.215047978983767152e-01 4.596682924733308084e+01 3.320898101908698941e+00
3.225751873313696394e-01 4.587333065218831507e+01 3.326039436307691943e+00
3.236457962933696475e-01 4.578008214635995898e+01 3.331185834210877328e+00
3.247166232599026925e-01 4.568708335488153693e+01 3.336337243206706660e+00
3.257876667273632010e-01 4.559433389805586501e+01 3.341493611146554965e+00
3.268589252127952482e-01 4.550183339153725370e+01 3.346654886143962671e+00
3.279303972536762868e-01 4.540958144640723049e+01 3.351821016574200840e+00
3.290020814077019295e-01 4.531757766925178288e+01 3.356991951073671654e+00
3.300739762525733978e-01 4.522582166223045874e+01 3.362167638539742320e+00
3.311460803857861346e-01 4.513431302316193694e+01 3.367348028129569126e+00
3.322183924244209163e-01 4.504305134558218526e+01 3.372533069260452709e+00
3.332909110049365187e-01 4.495203621883647571e+01 3.377722711608186934e+00
3.343636347829643807e-01 4.486126722813442314e+01 3.382916905107484773e+00
3.354365624331048790e-01 4.477074395463303347e+01 3.388115599950742851e+00
3.365096926487258777e-01 4.468046597550321053e+01 3.393318746587717705e+00
3.375830241417624444e-01 4.459043286400261508e+01 3.398526295724754842e+00
3.386565556425190082e-01 4.450064418954666934e+01 3.403738198324111064e+00
3.397302858994735164e-01 4.441109951777263376e+01 3.408954405603599636e+00
3.408042136790818133e-01 4.432179841061462611e+01 3.414174869035572435e+00
3.418783377655860711e-01 4.423274042637125092e+01 3.419399540346262256e+00
3.429526569608233322e-01 4.414392511976556932e+01 3.424628371515542113e+00
3.440271700840364377e-01 4.405535204202303845e+01 3.429861314775568992e+00
3.451018759716864559e-01 4.396702074093109047e+01 3.435098322610468990e+00
3.461767734772672189e-01 4.387893076090404065e+01 3.440339347755647204e+00
3.472518614711212481e-01 4.379108164305452533e+01 3.445584343196681054e+00
3.483271388402577884e-01 4.370347292525013927e+01 3.450833262169025417e+00
3.494026044881715087e-01 4.361610414218287701e+01 3.456086058156924157e+00
3.504782573346645336e-01 4.352897482543251328e+01 3.461342684892627641e+00
3.515540963156688070e-01 4.344208450352159190e+01 3.466603096356064562e+00
