sr b Me
3.526038605583838859e-01 5.374340906547493546e+01 3.507890041669491588e+00
3.547898561172279641e-01 5.358328938556036292e+01 3.514948812662801902e+00
3.569772364388056340e-01 5.342368945738539310e+01 3.522031156541785002e+00
3.591659839340368143e-01 5.326460995852652047e+01 3.529136867363115826e+00
3.613560812582430892e-01 5.310605151795848400e+01 3.536265739843941880e+00
3.635475113084208898e-01 5.294801471670206183e+01 3.543417569378629395e+00
3.657402572205343261e-01 5.279050008846341768e+01 3.550592152055347839e+00
3.679343023668277257e-01 5.263350812027064052e+01 3.557789284672205010e+00
3.701296303531574350e-01 5.247703925311269302e+01 3.565008764752748860e+00
3.723262250163443254e-01 5.232109388257801186e+01 3.572250390560900435e+00
3.745240704215451744e-01 5.216567235948936343e+01 3.579513961115525778e+00
3.767231508596438627e-01 5.201077499053113939e+01 3.586799276204780451e+00
3.789234508446632232e-01 5.185640203888594613e+01 3.594106136399474849e+00
3.811249551111958733e-01 5.170255372486187895e+01 3.601434343066313382e+00
3.833276486118549764e-01 5.154923022651660602e+01 3.608783698380721994e+00
3.855315165147452650e-01 5.139643168028225517e+01 3.616154005339083266e+00
3.877365442009537699e-01 5.124415818158674085e+01 3.623545067770576722e+00
3.899427172620602011e-01 5.109240978547503431e+01 3.630956690348456029e+00
3.921500214976677556e-01 5.094118650722036534e+01 3.638388678601258253e+00
3.943584429129532998e-01 5.079048832293792515e+01 3.645840838923332328e+00
3.965679677162380901e-01 5.064031517019678574e+01 3.653312978584890125e+00
3.987785823165780341e-01 5.049066694862557370e+01 3.660804905741800397e+00
4.009902733213741022e-01 5.034154352051310610e+01 3.668316429445074967e+00
4.032030275340026670e-01 5.019294471141195402e+01 3.675847359649656365e+00
4.054168319514659946e-01 5.004487031073371384e+01 3.683397507223046485e+00
4.076316737620625519e-01 4.989732007233839539e+01 3.690966683953683880e+00
4.098475403430773545e-01 4.975029371512665932e+01 3.698554702558617180e+00
4.120644192584926868e-01 4.960379092362666853e+01 3.706161376690888520e+00
4.142822982567179180e-01 4.945781134856896699e+01 3.713786520946986247e+00
4.165011652683404120e-01 4.931235460747071642e+01 3.721429950873246906e+00
4.187210084038957558e-01 4.916742028520557284e+01 3.729091482972455296e+00
4.209418159516578606e-01 4.902300793457236949e+01 3.736770934709949810e+00
4.231635763754498236e-01 4.887911707686060225e+01 3.744468124519352958e+00
4.253862783124733316e-01 4.873574720241123970e+01 3.752182871807986153e+00
4.276099105711597126e-01 4.859289777117633946e+01 3.759914996961795541e+00
4.298344621290393630e-01 4.845056821326361529e+01 3.767664321350554957e+00
4.320599221306316573e-01 4.830875792948864245e+01 3.775430667332093648e+00
4.342862798853548423e-01 4.816746629191880658e+01 3.783213858256425421e+00
4.365135248654556932e-01 4.802669264440935137e+01 3.791013718469779636e+00
4.387416467039582657e-01 4.788643630313580957e+01 3.798830073318272493e+00
4.409706351926332424e-01 4.774669655712444438e+01 3.806662749151158653e+00
4.432004802799863752e-01 4.760747266877931594e+01 3.814511573323730698e+00
4.454311720692668564e-01 4.746876387439714762e+01 3.822376374200352256e+00
4.476627008164948407e-01 4.733056938468186559e+01 3.830256981156999085e+00
4.498950569285090628e-01 4.719288838525829988e+01 3.838153224583288115e+00
4.521282309610330508e-01 4.705572003717387730e+01 3.846064935884682345e+00
4.543622136167618786e-01 4.691906347739883643e+01 3.853991947484233460e+00
4.565969957434671822e-01 4.678291781932347249e+01 3.861934092823985587e+00
4.588325683321221038e-01 4.664728215324432625e+01 3.869891206366485203e+00
4.610689225150449433e-01 4.651215554685049369e+01 3.877863123595771455e+00
4.633060495640621834e-01 4.637753704570457813e+01 3.885849681018145763e+00
4.655439408886907771e-01 4.624342567371835599e+01 3.893850716162767345e+00
4.677825880343387532e-01 4.610982043361730121e+01 3.901866067582353548e+00
4.700219826805253076e-01 4.597672030741100002e+01 3.909895574853066158e+00
4.722621166391194891e-01 4.584412425685096082e+01 3.917939078574598444e+00
4.745029818525972609e-01 4.571203122388347140e+01 3.925996420370088558e+00
4.767445703923179900e-01 4.558044013109878279e+01 3.934067442885739396e+00
4.789868744568184233e-01 4.544934988217637084e+01 3.942151989790182665e+00
4.812298863701257590e-01 4.531875936232570012e+01 3.950249905773616899e+00
4.834735985800892033e-01 4.518866743871749492e+01 3.958361036547033862e+00
4.857180036567291248e-01 4.505907296090985170e+01 3.966485228841288624e+00
4.879630942906048596e-01 4.492997476127823830e+01 3.974622330405425785e+00
4.902088632912001698e-01 4.480137165543072086e+01 3.982772190005449353e+00
4.924553035853271865e-01 4.467326244261771251e+01 3.990934657422957610e+00
4.947024082155476177e-01 4.454564590614772612e+01 3.999109583452921335e+00
4.969501703386121627e-01 4.441852081378205952e+01 4.007296819902322227e+00
4.991985832239165810e-01 4.429188591813957743e+01 4.015496219587684656e+00
5.014476402519764120e-01 4.416573995708664313e+01 4.023707636333071491e+00
5.036973349129191257e-01 4.404008165412289344e+01 4.031930924967912055e+00
5.059476608049916502e-01 4.391490971876751104e+01 4.040165941324318943e+00
5.081986116330877712e-01 4.379022284693541422e+01 4.048412542234599343e+00
5.104501812072901323e-01 4.366601972130863629e+01 4.056670585528648232e+00
5.127023634414312747e-01 4.354229901170590722e+01 4.064939930030988968e+00
5.149551523516689988e-01 4.341905937544162697e+01 4.073220435558081221e+00
5.172085420550813772e-01 4.329629945769151789e+01 4.081511962914730063e+00
5.194625267682752012e-01 4.317401789183409733e+01 4.089814373891674570e+00
5.217171008060134119e-01 4.305221329980664535e+01 4.098127531261789080e+00
5.239722585798575194e-01 4.293088429244392756e+01 4.106451298776966574e+00
5.262279945968261208e-01 4.281002946982015089e+01 4.114785541164408755e+00
5.284843034580705146e-01 4.268964742157870518e+01 4.123130124123266960e+00
5.307411798575645268e-01 4.256973672725749935e+01 4.131484914321227997e+00
5.329986185808118782e-01 4.245029595662030886e+01 4.139849779390202933e+00
5.352566145035680956e-01 4.233132366996991891e+01 4.148224587922903162e+00
5.375151625905781883e-01 4.221281841846330707e+01 4.156609209468843602e+00
5.397742578943305336e-01 4.209477874442062273e+01 4.165003514530385864e+00
5.420338955538237524e-01 4.197720318162878073e+01 4.173407374558745886e+00
5.442940707933523470e-01 4.186009025564546704e+01 4.181820661949574358e+00
5.465547789213031082e-01 4.174343848409061764e+01 4.190243250039025646e+00
5.488160153289705079e-01 4.162724637693615648e+01 4.198675013099572695e+00
5.510777754893829705e-01 4.151151243679597513e+01 4.207115826335399156e+00
5.533400549561474646e-01 4.139623515920727925e+01 4.215565565878035770e+00
5.556028493623050846e-01 4.128141303290373543e+01 4.224024108782204578e+00
5.578661544192033972e-01 4.116704454009143177e+01 4.232491333021086710e+00
5.601299659153824440e-01 4.105312815672000681e+01 4.240967117481562632e+00
5.623942797154740658e-01 4.093966235274086785e+01 4.249451341960029715e+00
5.646590917591156611e-01 4.082664559236964408e+01 4.257943887157552787e+00
5.669243980598778210e-01 4.071407633434186835e+01 4.266444634675131020e+00
5.691901947042057319e-01 4.060195303216665508e+01 4.274953467008780095e+00
5.714564778503732345e-01 4.049027413436878220e+01 4.283470267545100185e+00
5.737232437274519814e-01 4.037903808473429734e+01 4.291994920556257753e+00
5.759904886342919195e-01 4.026824332255078076e+01 4.300527311194989544e+00
5.782582089385160939e-01 4.015788828283955070e+01 4.309067325489902345e+00
5.805264010755283310e-01 4.004797139658500527e+01 4.317614850340635080e+00
5.827950615475330221e-01 3.993849109096623096e+01 4.326169773512511973e+00
5.850641869225693403e-01 3.982944578957756931e+01 4.334731983631712637e+00
5.873337738335555613e-01 3.972083391264450114e+01 4.343301370180475907e+00
5.896038189773484817e-01 3.961265387724277787e+01 4.351877823491729913e+00
5.918743191138126081e-01 3.950490409750421605e+01 4.360461234744436254e+00
5.941452710649042235e-01 3.939758298483395293e+01 4.369051495957706699e+00
5.964166717137651119e-01 3.929068894810203716e+01 4.377648499986645625e+00
5.986885180038297172e-01 3.918422039384987698e+01 4.386252140516700315e+00
6.009608069379438477e-01 3.907817572648777116e+01 4.394862312058390508e+00
6.032335355774942620e-01 3.897255334848187402e+01 4.403478909942621478e+00
6.055067010415513540e-01 3.886735166054926793e+01 4.412101830314993478e+00
6.077803005060211650e-01 3.876256906183773054e+01 4.420730970131096171e+00
6.100543312028112730e-01 3.865820395011359523e+01 4.429366227150818958e+00
6.123287904190053421e-01 3.855425472193513059e+01 4.438007499933568134e+00
6.146036754960502169e-01 3.845071977282860587e+01 4.446654687832974240e+00
6.168789838289540084e-01 3.834759749746555002e+01 4.455307690991210379e+00
6.191547128654936172e-01 3.824488628982154381e+01 4.463966410334570867e+00
6.214308601054353565e-01 3.814258454334892434e+01 4.472630747567601261e+00
