y_bar r2
4.899966984467783448e-01 1.137255165169485771e+00
4.933994463526587548e-01 1.143683363451016177e+00
4.968021942585391093e-01 1.150085380427745774e+00
5.002049421644195748e-01 1.156461213307118818e+00
5.036076900703000403e-01 1.162810862402588130e+00
5.070104379761803948e-01 1.169134331100517565e+00
5.104131858820608603e-01 1.175431625826401483e+00
5.138159337879412147e-01 1.181702756010430289e+00
5.172186816938215692e-01 1.187947734052527293e+00
5.206214295997020347e-01 1.194166575286747412e+00
5.240241775055823892e-01 1.200359297945165160e+00
5.274269254114628547e-01 1.206525923121248844e+00
5.308296733173432091e-01 1.212666474732754018e+00
5.342324212232236746e-01 1.218780979484144877e+00
5.376351691291040291e-01 1.224869466828583109e+00
5.410379170349844946e-01 1.230931968929570131e+00
5.444406649408648491e-01 1.236968520622124812e+00
5.478434128467453146e-01 1.242979159373682529e+00
5.512461607526256691e-01 1.248963925244650497e+00
5.546489086585060235e-01 1.254922860848675104e+00
5.580516565643864890e-01 1.260856011312628810e+00
5.614544044702668435e-01 1.266763424236335922e+00
5.648571523761473090e-01 1.272645149652150476e+00
5.682599002820276635e-01 1.278501239984229487e+00
5.716626481879081290e-01 1.284331750007740025e+00
5.750653960937884834e-01 1.290136736807867779e+00
5.784681439996689489e-01 1.295916259738692178e+00
5.818708919055493034e-01 1.301670380381978465e+00
5.852736398114297689e-01 1.307399162505920920e+00
5.886763877173101234e-01 1.313102672023753081e+00
5.920791356231905889e-01 1.318780976952407480e+00
5.954818835290709433e-01 1.324434147371078119e+00
5.988846314349512978e-01 1.330062255379882430e+00
6.022873793408317633e-01 1.335665375058455950e+00
6.056901272467121178e-01 1.341243582424652692e+00
6.090928751525925833e-01 1.346796955393285700e+00
6.124956230584729377e-01 1.352325573734965758e+00
6.158983709643534032e-01 1.357829519035030019e+00
6.193011188702337577e-01 1.363308874652543690e+00
6.227038667761142232e-01 1.368763725679565502e+00
6.261066146819945777e-01 1.374194158900426066e+00
6.295093625878750432e-01 1.379600262751228046e+00
